RPM,RPM International Inc.,7640657285,Basic Industries,Paints/Coatings,NYSE
RS,Reliance Steel & Aluminum Co.,6054472375,Basic Industries,Metal Fabrications,NYSE
RYAM,Rayonier Advanced Materials Inc.,675270738.1,Basic Industries,Major Chemicals,NYSE
RYI,Ryerson Holding Corporation,320520682.8,Basic Industries,Metal Fabrications,NYSE
SA,"Seabridge Gold, Inc.",763008067.1,Basic Industries,Precious Metals,NYSE
SBGL,Sibanye Gold Limited,2339520414,Basic Industries,Precious Metals,NYSE
SCCO,Southern Copper Corporation,30674404530,Basic Industries,Precious Metals,NYSE
SCL,Stepan Company,1970525140,Basic Industries,Package Goods/Cosmetics,NYSE
SEE,Sealed Air Corporation,7168439398,Basic Industries,Major Chemicals,NYSE
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",5166206184,Basic Industries,Major Chemicals,NYSE
SKY,Skyline Champion Corporation,1077552586,Basic Industries,Homebuilding,NYSE
SLCA,"U.S. Silica Holdings, Inc.",1275427951,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
SMG,Scotts Miracle-Gro Company (The),4349457927,Basic Industries,Agricultural Chemicals,NYSE
SQM,Sociedad Quimica y Minera S.A.,10117274383,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
SUM,"Summit Materials, Inc.",1772233624,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
SUZ,Suzano Papel e Celulose S.A.,15981529615,Basic Industries,Paper,NYSE
SWM,"Schweitzer-Mauduit International, Inc.",1196331027,Basic Industries,Paper,NYSE
SXC,"SunCoke Energy, Inc.",552654758.6,Basic Industries,Steel/Iron Ore,NYSE
SXCP,"SunCoke Energy Partners, L.P.",575527992.6,Basic Industries,Steel/Iron Ore,NYSE
SXT,Sensient Technologies Corporation,2867005186,Basic Industries,Major Chemicals,NYSE
TECK,Teck Resources Ltd,12961207754,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
TMST,TimkenSteel Corporation,486142958.7,Basic Industries,Steel/Iron Ore,NYSE
TPC,Tutor Perini Corporation,857770978.4,Basic Industries,General Bldg Contractors - Nonresidential Bldgs,NYSE
TREX,"Trex Company, Inc.",3621452869,Basic Industries,Forest Products,NYSE
TROX,Tronox Holdings plc,1617756908,Basic Industries,Major Chemicals,NYSE
TRQ,Turquoise Hill Resources Ltd.,3340442019,Basic Industries,Precious Metals,NYSE
TS,Tenaris S.A.,16675082724,Basic Industries,Steel/Iron Ore,NYSE
TSE,Trinseo S.A.,1870429254,Basic Industries,Major Chemicals,NYSE
TWI,"Titan International, Inc.",357879930.4,Basic Industries,Steel/Iron Ore,NYSE
TX,Ternium S.A.,5456911644,Basic Industries,Steel/Iron Ore,NYSE
UAN,"CVR Partners, LP",448600573.1,Basic Industries,Agricultural Chemicals,NYSE
UFS,Domtar Corporation,3124163840,Basic Industries,Paper,NYSE
UL,Unilever PLC,1.5176E+11,Basic Industries,Package Goods/Cosmetics,NYSE
UN,Unilever NV,1.52384E+11,Basic Industries,Package Goods/Cosmetics,NYSE
VALE,VALE S.A.,66973226278,Basic Industries,Precious Metals,NYSE
VHI,"Valhi, Inc.",783484892.2,Basic Industries,Major Chemicals,NYSE
VMC,Vulcan Materials Company,15636854042,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),NYSE
VNTR,Venator Materials PLC,598649728.5,Basic Industries,Major Chemicals,NYSE
VRS,Verso Corporation,738649272.1,Basic Industries,Paper,NYSE
VSM,"Versum Materials, Inc.",5491032326,Basic Industries,Major Chemicals,NYSE
VVV,Valvoline Inc.,3492631509,Basic Industries,Major Chemicals,NYSE
WLK,Westlake Chemical Corporation,8718269120,Basic Industries,Major Chemicals,NYSE
WLKP,Westlake Chemical Partners LP,732337795.4,Basic Industries,Major Chemicals,NYSE
WPM,Wheaton Precious Metals Corp.,10584092119,Basic Industries,Precious Metals,NYSE
WST,"West Pharmaceutical Services, Inc.",8125870186,Basic Industries,Specialty Chemicals,NYSE
X,United States Steel Corporation,3378485221,Basic Industries,Steel/Iron Ore,NYSE
XIN,Xinyuan Real Estate Co Ltd,313741514.8,Basic Industries,Homebuilding,NYSE
SNES,"SenesTech, Inc.",28612287.9,Basic Industries,Agricultural Chemicals,Nasdaq
RKDA,"Arcadia Biosciences, Inc.",33472182.19,Basic Industries,Agricultural Chemicals,Nasdaq
EVGN,Evogene Ltd.,47130363.51,Basic Industries,Agricultural Chemicals,Nasdaq
MBII,"Marrone Bio Innovations, Inc.",169349580,Basic Industries,Agricultural Chemicals,Nasdaq
CLXT,"Calyxt, Inc.",574992984.1,Basic Industries,Agricultural Chemicals,Nasdaq
CENX,Century Aluminum Company,782358547.2,Basic Industries,Aluminum,Nasdaq
YTEN,"Yield10 Bioscience, Inc.",11453074.98,Basic Industries,Containers/Packaging,Nasdaq
CADC,"China Advanced Construction Materials Group, Inc.",15984875,Basic Industries,Engineering & Construction,Nasdaq
LMB,"Limbach Holdings, Inc.",57500143.35,Basic Industries,Engineering & Construction,Nasdaq
BBCP,"Concrete Pumping Holdings, Inc. ",258186977.7,Basic Industries,Engineering & Construction,Nasdaq
MTRX,Matrix Service Company,524437122.7,Basic Industries,Engineering & Construction,Nasdaq
PESI,"Perma-Fix Environmental Services, Inc.",41897371.23,Basic Industries,Environmental Services,Nasdaq
SMED,Sharps Compliance Corp.,59054147.58,Basic Industries,Environmental Services,Nasdaq
SRCL,"Stericycle, Inc.",4936066076,Basic Industries,Environmental Services,Nasdaq
PATK,"Patrick Industries, Inc.",1081879176,Basic Industries,Forest Products,Nasdaq
AMWD,American Woodmark Corporation,1393908028,Basic Industries,Forest Products,Nasdaq
UFPI,"Universal Forest Products, Inc.",1833156719,Basic Industries,Forest Products,Nasdaq
CSWI,"CSW Industrials, Inc.",863456776.4,Basic Industries,Home Furnishings,Nasdaq
LEGH,Legacy Housing Corporation,285600000,Basic Industries,Homebuilding,Nasdaq
SIC,"Select Interior Concepts, Inc.",321703891.5,Basic Industries,Homebuilding,Nasdaq
CVCO,"Cavco Industries, Inc.",1069325550,Basic Industries,Homebuilding,Nasdaq
SES,"Synthesis Energy Systems, Inc.",5969480.132,Basic Industries,Major Chemicals,Nasdaq
AMTX,"Aemetis, Inc",16952363.58,Basic Industries,Major Chemicals,Nasdaq
GEVO,"Gevo, Inc.",18922548.27,Basic Industries,Major Chemicals,Nasdaq
TANH,Tantech Holdings Ltd.,43054863,Basic Industries,Major Chemicals,Nasdaq
PEIX,"Pacific Ethanol, Inc.",47912619.44,Basic Industries,Major Chemicals,Nasdaq
GURE,"Gulf Resources, Inc.",50205213.2,Basic Industries,Major Chemicals,Nasdaq
MYT,"Urban Tea, Inc.",50434984.52,Basic Industries,Major Chemicals,Nasdaq
HYGS,Hydrogenics Corporation,150554333,Basic Industries,Major Chemicals,Nasdaq
AMRS,"Amyris, Inc.",153733062,Basic Industries,Major Chemicals,Nasdaq
ADES,"Advanced Emissions Solutions, Inc.",214022741.7,Basic Industries,Major Chemicals,Nasdaq
LOOP,"Loop Industries, Inc.",267741191.5,Basic Industries,Major Chemicals,Nasdaq
GPP,Green Plains Partners LP,366501088.8,Basic Industries,Major Chemicals,Nasdaq
GPRE,"Green Plains, Inc.",684539744,Basic Industries,Major Chemicals,Nasdaq
REGI,"Renewable Energy Group, Inc.",820320038.3,Basic Industries,Major Chemicals,Nasdaq
